compilation, optimisation, temps
g++, -O0, 39.956593
g++, -O0, 40.693439
g++, -O0, 39.948326
g++, -O0, 40.100697
g++, -O0, 40.012329
g++, -O0, 40.747738
g++, -O0, 40.390362
g++, -O0, 40.978958
g++, -O0, 40.037472
g++, -O0, 39.992004
g++, -O0, 40.340801
g++, -O0, 39.902355
g++, -O1, 28.990965
g++, -O1, 28.202568
g++, -O1, 28.836723
g++, -O1, 28.158012
g++, -O1, 28.158567
g++, -O1, 28.165173
g++, -O1, 28.549980
g++, -O1, 28.011787
g++, -O1, 27.957384
g++, -O1, 28.152147
g++, -O1, 27.986929
g++, -O1, 27.939068
g++, -O2, 27.712196
g++, -O2, 27.232639
g++, -O2, 27.961716
g++, -O2, 27.229605
g++, -O2, 27.232164
g++, -O2, 27.176023
g++, -O2, 27.807516
g++, -O2, 27.578045
g++, -O2, 27.939045
g++, -O2, 27.875616
g++, -O2, 27.460983
g++, -O2, 27.963364
g++, -O3, 27.434933
g++, -O3, 28.013353
g++, -O3, 27.500004
g++, -O3, 27.363377
g++, -O3, 27.535929
g++, -O3, 27.869360
g++, -O3, 27.436056
g++, -O3, 28.035288
g++, -O3, 27.377377
g++, -O3, 27.228111
g++, -O3, 27.309776
g++, -O3, 27.754416
g++, -Os, 29.070419
g++, -Os, 28.945677
g++, -Os, 29.432013
g++, -Os, 29.025642
g++, -Os, 29.719481
g++, -Os, 29.102600
g++, -Os, 29.618282
g++, -Os, 29.744944
g++, -Os, 28.826159
g++, -Os, 29.320408
g++, -Os, 29.627176
g++, -Os, 28.997082
