compilation, temps
gcc-O0, 59.41
gcc-O0, 31.20
gcc-O0, 29.96
gcc-O0, 29.81
gcc-O0, 24.60
gcc-O0, 23.61
gcc-O0, 23.77
gcc-O0, 24.12
gcc-O0, 23.71
gcc-O0, 23.71
gcc-O0, 23.67
gcc-O0, 23.68
gcc-O1, 11.98
gcc-O1, 11.94
gcc-O1, 12.23
gcc-O1, 12.11
gcc-O1, 12.13
gcc-O1, 12.48
gcc-O1, 12.41
gcc-O1, 12.23
gcc-O1, 12.21
gcc-O1, 12.26
gcc-O1, 12.13
gcc-O1, 12.14
gcc-O2, 4.35
gcc-O2, 4.43
gcc-O2, 4.36
gcc-O2, 4.34
gcc-O2, 4.38
gcc-O2, 4.38
gcc-O2, 4.39
gcc-O2, 4.39
gcc-O2, 4.43
gcc-O2, 4.40
gcc-O2, 4.40
gcc-O2, 4.38
gcc-O3, 4.35
gcc-O3, 4.68
gcc-O3, 4.39
gcc-O3, 4.47
gcc-O3, 4.38
gcc-O3, 4.39
gcc-O3, 4.47
gcc-O3, 4.45
gcc-O3, 4.43
gcc-O3, 4.35
gcc-O3, 4.46
gcc-O3, 4.34
gcc-Os, 12.93
gcc-Os, 12.10
gcc-Os, 12.10
gcc-Os, 12.05
gcc-Os, 12.18
gcc-Os, 12.24
gcc-Os, 12.15
gcc-Os, 12.03
gcc-Os, 12.07
gcc-Os, 12.05
gcc-Os, 12.32
gcc-Os, 12.06
icx-O0, 23.06
icx-O0, 22.94
icx-O0, 22.71
