compilateur,optimisation,temps
gcc,O0,24.24
gcc,O0,23.13
gcc,O0,23.28
gcc,O0,23.49
gcc,O0,23.50
gcc,O0,23.46
gcc,O0,23.45
gcc,O0,23.67
gcc,O0,23.47
gcc,O0,23.47
gcc,O0,23.37
gcc,O0,23.63
gcc,O1,12.01
gcc,O1,12.19
gcc,O1,11.95
gcc,O1,11.91
gcc,O1,12.12
gcc,O1,11.83
gcc,O1,11.91
gcc,O1,11.89
gcc,O1,11.81
gcc,O1,11.94
gcc,O1,11.98
gcc,O1,11.83
gcc,O2,4.56
gcc,O2,4.29
gcc,O2,4.25
gcc,O2,4.25
gcc,O2,4.29
gcc,O2,4.73
gcc,O2,4.25
gcc,O2,4.27
gcc,O2,4.21
gcc,O2,4.31
gcc,O2,4.59
gcc,O2,4.29
gcc,O3,4.28
gcc,O3,4.26
gcc,O3,4.54
gcc,O3,4.22
gcc,O3,4.29
gcc,O3,4.23
gcc,O3,4.23
gcc,O3,4.27
gcc,O3,4.26
gcc,O3,4.22
gcc,O3,4.26
gcc,O3,4.23
gcc,Os,12.52
gcc,Os,12.05
gcc,Os,12.02
gcc,Os,13.53
gcc,Os,12.06
gcc,Os,12.62
gcc,Os,11.89
gcc,Os,12.30
gcc,Os,11.96
gcc,Os,12.59
gcc,Os,11.88
gcc,Os,11.84
icx,O0,21.95
icx,O0,21.93
icx,O0,22.04
icx,O0,21.92
icx,O0,21.94
icx,O0,22.08
icx,O0,21.96
icx,O0,21.99
icx,O0,21.95
icx,O0,22.01
icx,O0,21.98
icx,O0,22.06
icx,O1,11.58
icx,O1,11.81
icx,O1,11.46
icx,O1,11.73
icx,O1,13.35
icx,O1,11.64
icx,O1,11.84
icx,O1,11.79
icx,O1,11.69
icx,O1,13.35
icx,O1,11.83
icx,O1,12.28
icx,O2,13.37
icx,O2,12.92
icx,O2,13.13
icx,O2,13.19
icx,O2,13.10
icx,O2,13.06
icx,O2,12.84
icx,O2,12.85
icx,O2,13.23
icx,O2,15.81
icx,O2,13.10
icx,O2,14.13
icx,O3,15.07
icx,O3,13.16
icx,O3,13.29
icx,O3,13.34
icx,O3,14.92
icx,O3,13.01
icx,O3,12.95
icx,O3,13.56
icx,O3,12.84
icx,O3,13.12
icx,O3,12.88
icx,O3,14.15
icx,Os,11.50
icx,Os,13.34
icx,Os,11.41
icx,Os,11.44
icx,Os,11.46
icx,Os,12.02
icx,Os,11.79
icx,Os,11.55
icx,Os,11.68
icx,Os,12.57
icx,Os,12.12
icx,Os,12.30
clang,O0,21.80
clang,O0,21.75
clang,O0,21.84
clang,O0,22.11
clang,O0,21.78
clang,O0,21.97
clang,O0,21.86
clang,O0,21.97
clang,O0,22.27
clang,O0,21.79
clang,O0,21.75
clang,O0,21.82
clang,O1,11.90
clang,O1,12.75
clang,O1,11.35
clang,O1,11.98
clang,O1,11.40
clang,O1,12.12
clang,O1,11.25
clang,O1,11.25
clang,O1,11.26
clang,O1,13.21
clang,O1,11.88
clang,O1,11.98
clang,O2,12.33
clang,O2,11.67
clang,O2,13.13
clang,O2,11.98
clang,O2,11.46
clang,O2,13.14
clang,O2,12.61
clang,O2,13.13
clang,O2,13.13
clang,O2,12.42
clang,O2,11.52
clang,O2,11.79
clang,O3,12.15
clang,O3,13.14
clang,O3,12.95
clang,O3,11.45
clang,O3,12.06
clang,O3,11.17
clang,O3,11.82
clang,O3,11.50
clang,O3,12.08
clang,O3,11.42
clang,O3,11.57
clang,O3,12.74
clang,Os,12.85
clang,Os,13.22
clang,Os,11.46
clang,Os,11.77
clang,Os,11.58
clang,Os,13.18
clang,Os,12.84
clang,Os,13.19
clang,Os,12.48
clang,Os,13.20
clang,Os,11.43
clang,Os,11.49
ccomp,O0,20.86
ccomp,O0,20.85
ccomp,O0,20.81
ccomp,O0,20.97
ccomp,O0,20.83
ccomp,O0,20.83
ccomp,O0,20.82
ccomp,O0,20.86
ccomp,O0,20.81
ccomp,O0,20.90
ccomp,O0,21.12
ccomp,O0,20.86
ccomp,O1,19.95
ccomp,O1,19.97
ccomp,O1,20.02
ccomp,O1,19.97
ccomp,O1,19.96
ccomp,O1,19.93
ccomp,O1,19.95
ccomp,O1,20.02
ccomp,O1,19.95
ccomp,O1,19.97
ccomp,O1,20.01
ccomp,O1,19.96
ccomp,O2,19.94
ccomp,O2,19.94
ccomp,O2,19.97
ccomp,O2,19.93
ccomp,O2,19.96
ccomp,O2,19.95
ccomp,O2,19.93
ccomp,O2,19.95
ccomp,O2,20.07
ccomp,O2,19.96
ccomp,O2,19.99
ccomp,O2,20.03
ccomp,O3,20.05
ccomp,O3,20.05
ccomp,O3,19.94
ccomp,O3,19.99
ccomp,O3,19.95
ccomp,O3,20.05
ccomp,O3,19.94
ccomp,O3,19.96
ccomp,O3,19.96
ccomp,O3,19.96
ccomp,O3,20.01
ccomp,O3,20.06
ccomp,Os,20.06
ccomp,Os,20.17
ccomp,Os,20.02
ccomp,Os,19.98
ccomp,Os,20.03
ccomp,Os,19.97
ccomp,Os,19.96
ccomp,Os,19.94
ccomp,Os,20.01
ccomp,Os,19.97
ccomp,Os,20.01
ccomp,Os,19.99
